"her error","her cputime","her dtArray"
2.125907126e-09,0.95,20
4.187745551e-09,0.97,25
5.657053708e-09,0.66,30
2.47011018e-09,0.62,35
1.419110891e-08,0.48,40
5.866018452e-08,0.44,45
1.626087901e-07,0.42,50
3.633311464e-07,0.35,55
7.276972688e-07,0.35,60
1.356805589e-06,0.32,65
2.373066131e-06,0.29,70
3.954920475e-06,0.26,75
6.357130297e-06,0.25,80
9.842094106e-06,0.24,85
1.488313758e-05,0.23,90
2.190639292e-05,0.22,95
3.16644984e-05,0.22,100
4.478347622e-05,0.19,105
6.226922443e-05,0.2,110
8.522866492e-05,0.18,115
0.0001151623311,0.17,120
0.0001536156464,0.17,125
0.0002025832658,0.17,130
0.0002648152248,0.16,135
0.0003426976372,0.15,140
0.0004408121668,0.14,145
0.0005649062957,0.14,150
0.0007211304785,0.16,155
0.0009091758339,0.14,160
0.001109079819,0.14,165
0.001341309579,0.12,170
0.001634694156,0.14,175
0.002010120616,0.11,180
