"her error","her cputime","her dtArray","her a"
3.832481709e-08,85.14,20,0.0004148800648
1.891132216e-07,69.81,25,0.0003939900221
6.877634967e-07,58.5,30,0.0003200895417
2.042486359e-06,48.42,35,0.0001096390258
5.295846522e-06,47.08,40,0.0001303874686
1.192775029e-05,37.46,45,0.0004766690233
2.498856913e-05,35.7,50,0.0004579303638
4.911397736e-05,30.87,55,0.000237096241
9.007622137e-05,29.14,60,0.0003036124336
0.0001576497496,27.49,65,0.000265723071
0.0002650741243,24.77,70,0.0001731434668
0.0004285040702,23.77,75,0.000411506309
0.0006742635759,22.08,80,0.0001661819404
