"Leapfrog_time","Leapfrog_energyChange"
0,0
1837,-2.034809795e-06
3663,-6.26870649e-06
5489,-2.907613389e-06
7315,-7.390802874e-06
9141,-7.228866952e-07
10967,-1.845588596e-06
12793,-2.874320693e-06
14619,-2.100052214e-06
16445,-6.153142628e-06
18271,-4.077329978e-06
20097,-3.402295055e-06
21923,-4.191613117e-06
23749,-3.509245614e-06
25575,-5.217307171e-07
27401,-8.593146333e-06
29227,-1.291886982e-06
31053,-9.9125432e-06
32879,-4.82861556e-06
34705,-7.498626762e-06
36531,-1.043645568e-05
38357,-3.856160578e-06
40183,-1.239699719e-05
42009,-3.595544933e-06
43835,-1.267105371e-05
45661,-7.895625882e-06
47487,-8.187965152e-06
49313,-1.221584735e-05
51139,-2.179324655e-06
52965,-1.268503968e-05
54791,-3.782244232e-06
56617,-8.589689598e-06
58443,-7.55541366e-06
60269,-2.617914376e-06
62095,-8.205289863e-06
63921,-1.87006997e-06
65747,-7.18276145e-06
67573,-8.920613498e-07
69399,-2.303380056e-06
71225,-2.458879255e-06
73051,-5.084738103e-06
74877,-3.768898627e-06
76703,-6.880302745e-06
78529,-1.316399812e-06
80355,-2.482394729e-06
82181,-3.299697917e-06
84007,-1.40044527e-06
85833,-6.702000456e-06
87659,-3.274358743e-06
89485,-4.761140034e-06
91311,-2.968548619e-06
93137,-1.368511178e-06
94963,-4.593640452e-07
96789,-7.324641434e-06
98615,-2.446396664e-06
100441,-8.907420151e-06
102267,-2.999680686e-06
104093,-6.445743484e-06
105919,-9.368504851e-06
107745,-3.57731105e-06
109571,-1.20382804e-05
111397,-2.985299152e-06
113223,-1.23337011e-05
115049,-7.139190711e-06
116875,-8.715874069e-06
118701,-1.24971712e-05
120527,-3.083417813e-06
122353,-1.334760434e-05
124179,-3.786107326e-06
126005,-9.644312549e-06
127831,-8.33113833e-06
129657,-4.319162578e-06
131483,-9.743764717e-06
133309,-6.467457308e-07
135135,-8.292646317e-06
136961,-2.227976405e-08
138787,-4.093917763e-06
140613,-3.648995962e-06
142439,-3.264837776e-06
144265,-4.708717122e-06
146091,-6.767832884e-06
147917,-2.10358674e-06
149743,-2.443848633e-06
151569,-2.669718796e-06
153395,-1.356394182e-06
155221,-7.142398099e-06
157047,-2.181372466e-06
158873,-6.11294693e-06
160699,-2.264583401e-06
162525,-7.84451035e-09
164351,-1.20107692e-06
166177,-5.711017543e-06
168003,-4.30776494e-06
169829,-7.674607712e-06
171655,-1.379429884e-06
173481,-5.879752744e-06
175307,-8.228719682e-06
177133,-2.721975637e-06
178959,-1.090181249e-05
180785,-2.043934546e-06
182611,-1.214966157e-05
184437,-6.796810579e-06
186263,-8.997717604e-06
188089,-1.207910649e-05
189915,-3.14146358e-06
191741,-1.375311401e-05
193567,-3.966280147e-06
195393,-1.101468363e-05
197219,-8.910319867e-06
199045,-5.36150519e-06
200871,-1.055254783e-05
202697,-5.209348654e-07
204523,-9.815537131e-06
206349,-1.404092606e-06
208175,-5.789975944e-06
210001,-4.446074498e-06
211827,-1.846857698e-06
213653,-5.993330582e-06
215479,-5.846424267e-06
217305,-3.620995288e-06
219131,-2.088249015e-06
220957,-2.149430652e-06
222783,-1.195629509e-06
224609,-6.993706663e-06
226435,-2.083749059e-06
228261,-6.608245067e-06
230087,-1.597568117e-06
231913,-1.61398057e-06
233739,-2.253613207e-06
235565,-4.426875013e-06
237391,-5.523257682e-06
239217,-6.666391625e-06
241043,-4.597850475e-07
242869,-4.645255846e-06
244695,-6.480244526e-06
246521,-1.889077979e-06
248347,-1.019840963e-05
250173,-1.29488935e-06
251999,-1.133517635e-05
253825,-5.709765703e-06
255651,-8.663912187e-06
257477,-1.174228264e-05
259303,-3.51316691e-06
261129,-1.401597393e-05
262955,-3.729950771e-06
264781,-1.150860562e-05
266607,-8.947997189e-06
268433,-6.443586498e-06
270259,-1.174905739e-05
272085,-1.792738097e-06
273911,-1.07182127e-05
275737,-2.184674719e-06
277563,-7.198400483e-06
279389,-5.730906606e-06
281215,-1.127766262e-07
283041,-7.391525783e-06
284867,-4.889974952e-06
286693,-4.773894643e-06
288519,-1.570538157e-06
290345,-8.67733791e-07
292171,-1.996711274e-06
293997,-6.309394565e-06
295823,-1.939178636e-06
297649,-7.202643935e-06
299475,-1.207267522e-06
301301,-2.236451039e-06
303127,-2.612985843e-06
304953,-3.191391876e-06
306779,-6.789167855e-06
308605,-5.187152875e-06
310431,-2.331105882e-06
312257,-3.857404357e-06
314083,-5.123469898e-06
315909,-8.423843768e-07
317735,-8.77391555e-06
319561,-1.33793411e-07
321387,-1.031157001e-05
323213,-5.064214928e-06
325039,-8.418464607e-06
326865,-1.084474542e-05
328691,-3.289588897e-06
330517,-1.35831043e-05
332343,-3.305047145e-06
334169,-1.226176027e-05
335995,-9.125347373e-06
337821,-7.094436439e-06
339647,-1.208426725e-05
341473,-2.458169143e-06
343299,-1.161607852e-05
345125,-3.46960281e-06
346951,-8.723429036e-06
348777,-6.536418379e-06
350603,-1.613181731e-06
352429,-8.48741956e-06
354255,-3.603927993e-06
356081,-6.628898238e-06
357907,-5.787139743e-07
359733,-4.927209909e-07
361559,-2.505205767e-06
363385,-5.506927225e-06
365211,-2.592138452e-06
367037,-6.695422173e-06
368863,-1.389425587e-06
370689,-2.918310685e-06
372515,-3.042997685e-06
374341,-2.044768711e-06
376167,-7.424841019e-06
377993,-4.424043777e-06
379819,-4.000782247e-06
381645,-2.771645609e-06
383471,-3.139534263e-06
385297,-4.354689949e-07
387123,-7.664479821e-06
388949,-1.104334387e-06
390775,-9.154460253e-06
392601,-3.565031503e-06
394427,-7.557854478e-06
396253,-9.61561163e-06
398079,-3.25875802e-06
399905,-1.338721899e-05
401731,-2.614347481e-06
403557,-1.225946434e-05
405383,-8.483287044e-06
407209,-7.50838714e-06
409035,-1.263171859e-05
410861,-3.38909725e-06
412687,-1.229302528e-05
414513,-3.797896857e-06
416339,-9.742337396e-06
418165,-7.300562439e-06
419991,-3.539924368e-06
421817,-9.935664854e-06
423643,-2.331648518e-06
425469,-7.972217669e-06
427295,-7.010571581e-08
429121,-2.248011547e-06
430947,-3.790400256e-06
432773,-4.027894205e-06
434599,-3.550603262e-06
436425,-6.56898495e-06
438251,-1.747362857e-06
440077,-2.984607622e-06
441903,-2.455833392e-06
443729,-1.581016791e-06
445555,-7.860723577e-06
447381,-3.346055462e-06
449207,-5.774949426e-06
451033,-2.098861814e-06
452859,-1.79450481e-06
454685,-1.444635682e-06
456511,-6.264185831e-06
458337,-2.908966257e-06
460163,-7.722286771e-06
461989,-2.09855079e-06
463815,-7.0929184e-06
465641,-8.380657304e-06
467467,-2.704707422e-06
469293,-1.233126806e-05
471119,-1.556918743e-06
472945,-1.233070497e-05
474771,-8.135775913e-06
476597,-7.853819698e-06
478423,-1.254865258e-05
480249,-3.404421049e-06
482075,-1.276226149e-05
483901,-4.180876541e-06
485727,-1.106269288e-05
487553,-8.040141516e-06
489379,-4.901121468e-06
491205,-1.063763123e-05
493031,-1.093598039e-06
494857,-9.70035964e-06
496683,-1.264059607e-06
498509,-4.137746222e-06
500335,-4.767020166e-06
502161,-2.912960441e-06
503987,-4.877504937e-06
505813,-5.715602702e-06
507639,-2.897363022e-06
509465,-2.612246449e-06
511291,-1.945481262e-06
513117,-9.867542642e-07
514943,-7.811607452e-06
516769,-3.135578902e-06
518595,-6.716005694e-06
520421,-1.519093902e-06
522247,-1.313784365e-07
524073,-2.793293979e-06
525899,-5.056446434e-06
527725,-4.251370353e-06
529551,-6.563409388e-06
531377,-4.533866009e-07
533203,-5.878655452e-06
535029,-6.562076026e-06
536855,-2.05019763e-06
538681,-1.159098107e-05
540507,-7.827090941e-07
542333,-1.18637084e-05
544159,-6.992079341e-06
545985,-7.644524081e-06
547811,-1.246978192e-05
549637,-3.646678642e-06
551463,-1.325242179e-05
553289,-4.226689151e-06
555115,-1.151033077e-05
556941,-8.273321198e-06
558767,-6.232063579e-06
560593,-1.170050445e-05
562419,-3.858375753e-07
564245,-1.091611905e-05
566071,-1.831693804e-06
567897,-5.750531511e-06
569723,-6.174111782e-06
571549,-1.237329881e-06
573375,-6.46197668e-06
575201,-4.732479792e-06
577027,-3.747622064e-06
578853,-2.103986602e-06
580679,-7.64392211e-07
582505,-1.384130596e-06
584331,-7.149623291e-06
586157,-2.871171598e-06
587983,-7.764118057e-06
589809,-1.086151141e-06
591635,-7.43758803e-07
593461,-3.475880246e-06
595287,-3.921385857e-06
597113,-5.704656776e-06
598939,-4.941017081e-06
600765,-1.331850149e-06
602591,-4.939398283e-06
604417,-5.206472151e-06
606243,-1.277374875e-06
608069,-1.011453249e-05
609895,-5.757678299e-07
611721,-1.108867788e-05
613547,-6.213013965e-06
615373,-7.594916998e-06
617199,-1.192924482e-05
619025,-3.316842026e-06
620851,-1.305758212e-05
622677,-4.029571915e-06
624503,-1.21183133e-05
626329,-8.735339772e-06
628155,-7.225239762e-06
629981,-1.194794986e-05
631807,-1.291026399e-06
633633,-1.201853898e-05
635459,-2.94227361e-06
637285,-7.536188037e-06
639111,-7.219249875e-06
640937,-7.333051748e-08
642763,-7.720367464e-06
644589,-3.473357279e-06
646415,-5.300962501e-06
648241,-1.011759195e-06
650067,-5.163625294e-07
651893,-1.589083096e-06
653719,-6.410815693e-06
655545,-3.225432981e-06
657371,-7.637017668e-06
659197,-1.249441885e-06
661023,-1.673786494e-06
662849,-4.156818145e-06
664675,-2.768130107e-06
666501,-6.698745841e-06
668327,-4.044794945e-06
670153,-2.855602457e-06
671979,-3.658327213e-06
673805,-3.299523574e-06
675631,-1.549211542e-07
677457,-8.788825007e-06
679283,-1.40803559e-06
681109,-1.022801802e-05
682935,-4.634694599e-06
684761,-6.981927797e-06
686587,-1.096745009e-05
688413,-3.107693665e-06
690239,-1.31387772e-05
692065,-3.661778293e-06
693891,-1.203283694e-05
695717,-8.422658819e-06
697543,-7.845923177e-06
699369,-1.235068775e-05
701195,-2.490967098e-06
703021,-1.293859413e-05
704847,-3.182162519e-06
706673,-8.825735892e-06
708499,-8.052063785e-06
710325,-1.827154584e-06
712151,-9.372166174e-06
713977,-2.193011236e-06
715803,-6.491093444e-06
717629,-2.298054023e-07
719455,-2.049429229e-06
721281,-2.62251088e-06
723107,-4.909422732e-06
724933,-3.905730728e-06
726759,-7.733386787e-06
728585,-1.580883074e-06
730411,-2.178782033e-06
732237,-3.78071611e-06
734063,-2.314391775e-06
735889,-7.498601588e-06
737715,-2.922431455e-06
739541,-4.572780787e-06
741367,-2.631653854e-06
743193,-2.002880484e-06
745019,-6.727373778e-07
746845,-7.198514945e-06
748671,-3.030996429e-06
750497,-9.014916227e-06
752323,-2.947369324e-06
754149,-6.76127146e-06
755975,-1.002553827e-05
757801,-2.44429912e-06
759627,-1.240979909e-05
761453,-2.795396248e-06
763279,-1.196586553e-05
765105,-8.368810105e-06
766931,-8.418784238e-06
768757,-1.221942759e-05
770583,-2.792639325e-06
772409,-1.35070665e-05
774235,-3.41892361e-06
776061,-1.041251849e-05
777887,-8.858317174e-06
779713,-3.140449489e-06
781539,-1.033726591e-05
783365,-1.115431443e-06
785191,-8.117815794e-06
787017,-1.108932042e-06
788843,-3.793775661e-06
790669,-3.544168177e-06
792495,-3.700146112e-06
794321,-4.885365966e-06
796147,-7.083526319e-06
797973,-2.756205464e-06
799799,-2.192176399e-06
801625,-3.351918945e-06
803451,-1.725191071e-06
805277,-7.972658775e-06
807103,-2.640776527e-06
808929,-5.545876679e-06
810755,-1.749283322e-06
812581,-4.182090434e-07
814407,-1.89676598e-06
816233,-5.692008591e-06
818059,-4.288337739e-06
819885,-8.067452121e-06
821711,-1.126105551e-06
823537,-5.86324209e-06
825363,-8.396874087e-06
827189,-1.61048066e-06
829015,-1.194168582e-05
830841,-2.127516462e-06
832667,-1.146878435e-05
834493,-7.521796898e-06
836319,-8.322428248e-06
838145,-1.204963384e-05
839971,-3.248347383e-06
841797,-1.407494003e-05
843623,-3.426490269e-06
845449,-1.120915637e-05
847275,-9.048264527e-06
849101,-4.465397775e-06
850927,-1.166066017e-05
852753,-2.324251404e-07
854579,-9.443425599e-06
856405,-1.88312394e-06
858231,-5.215751043e-06
860057,-4.946330458e-06
861883,-1.933718379e-06
863709,-6.208687109e-06
865535,-6.144352716e-06
867361,-3.69865286e-06
869187,-2.134338471e-06
871013,-2.230119228e-06
872839,-2.088669327e-06
874665,-7.744595377e-06
876491,-2.392800693e-06
878317,-6.645304339e-06
880143,-8.915948678e-07
881969,-4.52419191e-07
883795,-2.586421714e-06
885621,-4.295205354e-06
887447,-5.636423712e-06
889273,-6.534097254e-06
891099,-9.431525397e-07
892925,-5.123642471e-06
894751,-7.113420164e-06
896577,-7.42589503e-07
898403,-1.078392145e-05
900229,-7.775895806e-07
902055,-1.062325503e-05
903881,-6.98677012e-06
905707,-8.294924904e-06
907533,-1.158188968e-05
909359,-3.218697691e-06
911185,-1.387091626e-05
913011,-3.23217621e-06
914837,-1.210087302e-05
916663,-9.449913887e-06
918489,-5.639123427e-06
920315,-1.22530091e-05
922141,-9.651469313e-07
923967,-1.068914042e-05
925793,-3.195859825e-06
927619,-6.845507684e-06
929445,-6.211849459e-06
931271,-4.181230044e-07
933097,-7.206132862e-06
934923,-4.856580926e-06
936749,-5.307921875e-06
938575,-1.385824815e-06
940401,-8.752653863e-07
942227,-2.311964564e-06
944053,-7.498923338e-06
945879,-2.696221615e-06
947705,-6.676541181e-06
949531,-6.454634144e-07
951357,-1.334714047e-06
953183,-3.359139168e-06
955009,-2.762579381e-06
956835,-6.621278038e-06
958661,-5.518653435e-06
960487,-2.674314893e-06
962313,-4.038753091e-06
964139,-5.18794497e-06
965965,-5.310002835e-07
967791,-9.652691794e-06
969617,-1.549224733e-07
971443,-9.805653854e-06
973269,-5.736913539e-06
975095,-7.650061434e-06
976921,-1.069531061e-05
978747,-3.268969978e-06
980573,-1.385392203e-05
982399,-3.078648811e-06
984225,-1.235717337e-05
986051,-9.077439074e-06
987877,-6.448428644e-06
989703,-1.292191094e-05
991529,-2.019459886e-06
993355,-1.189840441e-05
995181,-3.761713914e-06
997007,-7.99140462e-06
998833,-7.269744488e-06
1000659,-1.499165396e-06
1002485,-8.651804218e-06
1004311,-3.365959914e-06
1006137,-6.636042765e-06
1007963,-8.759560704e-07
1009789,-7.070837504e-07
1011615,-3.275364443e-06
1013441,-6.392268628e-06
1015267,-3.403319467e-06
1017093,-6.923677162e-06
1018919,-5.489680708e-07
1020745,-1.91057975e-06
1022571,-3.279792151e-06
1024397,-1.9698147e-06
1026223,-7.417386035e-06
1028049,-4.194957568e-06
1029875,-4.606950752e-06
1031701,-3.059609011e-06
1033527,-3.692718888e-06
1035353,-1.411468493e-06
1037179,-8.29060376e-06
1039005,-1.898747636e-06
1040831,-8.655893987e-06
1042657,-4.267768262e-06
1044483,-7.273706243e-06
1046309,-9.96485616e-06
1048135,-2.887264636e-06
1049961,-1.304928217e-05
1051787,-2.405000588e-06
1053613,-1.254685804e-05
1055439,-8.888986931e-06
1057265,-7.333436611e-06
1059091,-1.312083268e-05
1060917,-2.220543576e-06
1062743,-1.274947722e-05
1064569,-4.21069749e-06
1066395,-9.448526162e-06
1068221,-8.398159897e-06
1070047,-3.036035518e-06
1071873,-9.493580238e-06
1073699,-2.129244485e-06
1075525,-8.314325221e-06
1077351,-2.191089674e-07
1079177,-2.627555128e-06
1081003,-4.159848925e-06
1082829,-5.463861923e-06
1084655,-4.391600202e-06
1086481,-6.581240531e-06
1088307,-1.409737217e-06
1090133,-1.934175732e-06
1091959,-3.12765426e-06
1093785,-1.118336957e-06
1095611,-7.995422047e-06
1097437,-3.541669734e-06
1099263,-5.78935116e-06
1101089,-2.265959514e-06
1102915,-1.851350039e-06
1104741,-2.649313946e-06
1106567,-6.89967778e-06
1108393,-3.475338355e-06
1110219,-7.850504901e-06
1112045,-2.679015599e-06
1113871,-6.264499278e-06
1115697,-8.568740937e-06
1117523,-2.263342366e-06
1119349,-1.24202743e-05
1121175,-1.971006058e-06
1123001,-1.23758868e-05
1124827,-7.953024685e-06
1126653,-7.543235329e-06
1128479,-1.318193007e-05
1130305,-2.476201342e-06
1132131,-1.364990515e-05
1133957,-4.412213152e-06
1135783,-1.019501683e-05
1137609,-8.860564506e-06
1139435,-4.472695551e-06
1141261,-1.068363215e-05
1143087,-5.683186468e-07
1144913,-9.720543138e-06
1146739,-8.664422305e-07
1148565,-4.228754133e-06
1150391,-5.428583751e-06
1152217,-3.935814748e-06
1154043,-5.842742269e-06
1155869,-5.939966248e-06
1157695,-2.206691891e-06
1159521,-1.911718565e-06
