"LeapfrogAdaptive_time","LeapfrogAdaptive_energyChange"
0,0
2240,-2.083479344e-06
4160,-5.349350558e-06
6080,-6.650481359e-07
8000,-9.449274231e-06
9920,-6.862156737e-06
11840,-1.020196671e-05
13760,-3.626634835e-06
15680,-9.598817177e-06
17600,-6.825758138e-07
19520,-1.351253841e-06
21440,-5.540373572e-06
23360,-1.500457462e-06
25280,-1.074342631e-05
27200,-5.558178845e-06
29120,-1.150759903e-05
31040,-3.005624331e-06
32960,-8.144858042e-06
34880,-8.372249442e-07
36800,-4.017636113e-07
38720,-6.31960877e-06
40640,-2.383388591e-06
42560,-1.121818973e-05
44480,-6.734220074e-06
46400,-9.300053186e-06
48320,-4.016091866e-06
50240,-8.623208995e-06
52160,-1.9311803e-06
54080,-5.416628216e-07
56000,-4.868626193e-06
57920,-4.404560785e-06
59840,-1.313181321e-05
61760,-2.555084884e-06
63680,-1.083924573e-05
65600,-6.055143136e-06
67520,-5.209591356e-06
69440,-3.334580908e-06
71360,-2.88644007e-06
73280,-6.443750925e-06
75200,-6.280321363e-06
77120,-1.022784942e-05
79040,-4.171930198e-06
80960,-1.184574607e-05
82880,-3.112211418e-06
84800,-4.658382398e-06
86720,-1.33123839e-06
88640,-8.696689705e-08
90560,-8.916841379e-06
92480,-3.325568558e-06
94400,-1.099618092e-05
96320,-6.115575758e-06
98240,-1.037783903e-05
100160,-1.872649855e-06
102080,-4.812391235e-06
104000,-2.068320213e-06
105920,-9.553466934e-07
107840,-9.87311148e-06
109760,-4.897902504e-06
111680,-9.948639046e-06
113600,-5.445889172e-06
115520,-1.171238994e-05
117440,-6.873311165e-07
119360,-3.560170674e-06
121280,-1.659928102e-06
123200,-1.364422789e-06
125120,-1.098351825e-05
127040,-3.425373851e-06
128960,-1.141830637e-05
130880,-6.854835418e-06
132800,-7.967743088e-06
134720,-8.153869575e-07
136640,-5.857025574e-06
138560,-4.028402787e-06
140480,-4.110476257e-06
142400,-7.480538799e-06
144320,-4.341208516e-06
146240,-1.443400681e-05
148160,-3.80192902e-06
150080,-6.92094144e-06
152000,-2.587302132e-06
153920,-4.084582943e-06
155840,-7.257881533e-06
157760,-1.561588052e-06
159680,-9.002978609e-06
161600,-6.212589526e-06
163520,-1.199960381e-05
165440,-3.8675662e-06
167360,-8.269862069e-06
169280,-9.36395862e-07
171200,-1.247473324e-06
173120,-5.563845326e-06
175040,-3.337945481e-06
176960,-1.028592164e-05
178880,-5.404390897e-06
180800,-1.171450801e-05
182720,-3.800355689e-06
184640,-8.137878988e-06
186560,-2.294372906e-07
188480,-1.076975918e-06
190400,-7.095925466e-06
192320,-1.571797355e-06
194240,-1.18321916e-05
196160,-7.34708295e-06
198080,-9.661787327e-06
200000,-2.681984059e-06
201920,-9.552080402e-06
203840,-4.734697985e-07
205760,-1.665091104e-06
207680,-5.226833511e-06
209600,-2.710144282e-06
211520,-1.34389408e-05
213440,-5.045622344e-06
215360,-9.526136305e-06
217280,-4.919494896e-06
219200,-6.353604301e-06
221120,-3.567027579e-06
223040,-1.983280375e-06
224960,-6.716286312e-06
226880,-6.619910829e-06
228800,-1.102421352e-05
230720,-3.599206254e-06
232640,-1.207909935e-05
234560,-4.169020841e-06
236480,-3.225655146e-06
238400,-2.549918315e-06
240320,-8.102167202e-07
242240,-8.793692205e-06
244160,-5.134874883e-06
246080,-1.16987126e-05
248000,-4.532581503e-06
249920,-1.077195095e-05
251840,-2.74635095e-06
253760,-5.020914627e-06
255680,-3.454397408e-06
257600,-8.016855362e-07
259520,-9.028023051e-06
261440,-5.835215875e-06
263360,-1.074504605e-05
265280,-5.306914069e-06
267200,-1.074722441e-05
269120,-1.890830121e-06
271040,-2.847783136e-06
272960,-1.898871668e-06
274880,-1.404122422e-06
276800,-1.193228141e-05
278720,-3.388630319e-06
280640,-1.051718945e-05
282560,-6.953936967e-06
284480,-9.751416074e-06
286400,-1.750900779e-06
288320,-5.023936517e-06
290240,-2.836772236e-06
292160,-4.719295139e-06
294080,-9.78910486e-06
296000,-3.587712589e-06
297920,-1.267332093e-05
299840,-5.937494656e-06
301760,-6.107876582e-06
303680,-1.418848212e-06
305600,-3.443480823e-06
307520,-6.755239058e-06
309440,-2.512566977e-06
311360,-9.240399038e-06
313280,-6.048334946e-06
315200,-1.298719253e-05
317120,-2.620499977e-06
319040,-8.268777285e-06
320960,-1.300324151e-06
322880,-1.752085116e-06
324800,-7.134053468e-06
326720,-3.379888619e-06
328640,-9.53889344e-06
330560,-6.000287203e-06
332480,-1.251239295e-05
334400,-3.892842856e-06
336320,-6.067050311e-06
338240,-6.874426693e-07
340160,-2.061690914e-06
342080,-8.188041977e-06
344000,-3.044644606e-06
345920,-1.032747375e-05
347840,-6.466793786e-06
349760,-1.111273354e-05
351680,-2.040751383e-06
353600,-8.232493652e-06
355520,-3.887467239e-07
357440,-2.220961882e-06
359360,-6.017799983e-06
361280,-2.250798813e-06
363200,-1.356374317e-05
365120,-6.382747164e-06
367040,-7.629953763e-06
368960,-3.965729842e-06
370880,-8.421847533e-06
372800,-4.453024755e-06
374720,-4.21998069e-07
376640,-6.417781263e-06
378560,-4.703643703e-06
380480,-1.321181892e-05
382400,-3.832046723e-06
384320,-1.085879599e-05
386240,-4.222674662e-06
388160,-3.89357333e-06
390080,-2.548894329e-06
392000,-2.961048506e-07
393920,-8.321069809e-06
395840,-6.023501255e-06
397760,-1.11391978e-05
399680,-5.191846692e-06
401600,-1.078343829e-05
403520,-2.460957348e-06
405440,-4.509801677e-06
407360,-4.134965943e-06
409280,-3.768528451e-07
411200,-9.414803041e-06
413120,-6.107183019e-06
415040,-1.166556121e-05
416960,-3.316063492e-06
418880,-1.1051131e-05
420800,-3.079542229e-06
422720,-1.186244926e-06
424640,-3.200253143e-06
426560,-3.918645224e-07
428480,-1.083201344e-05
430400,-6.20549497e-06
432320,-9.575146547e-06
434240,-5.695250284e-06
436160,-1.061962099e-05
438080,-1.262086818e-06
440000,-3.89614866e-06
441920,-3.207549578e-06
443840,-4.152150787e-06
445760,-1.15676801e-05
447680,-2.507993158e-06
449600,-1.275211354e-05
451520,-7.308008602e-06
453440,-6.353453251e-06
455360,-1.57620504e-07
457280,-4.202525894e-06
459200,-5.197229815e-06
461120,-4.922250377e-06
463040,-1.025313197e-05
464960,-4.91626015e-06
466880,-1.265637821e-05
468800,-4.204816972e-06
470720,-8.29629583e-06
472640,-1.59069343e-07
474560,-2.031744457e-06
476480,-6.446902767e-06
478400,-3.418511104e-06
480320,-1.059890214e-05
482240,-5.824851601e-06
484160,-1.203592706e-05
486080,-4.243715649e-06
488000,-5.659993341e-06
489920,-7.699322495e-07
491840,-1.680402654e-06
493760,-8.750046472e-06
495680,-3.60273772e-06
497600,-9.401718883e-06
499520,-6.525275528e-06
501440,-1.363714516e-05
503360,-5.450593446e-07
505280,-6.850406674e-06
507200,-5.10247742e-07
509120,-1.056985316e-06
511040,-8.975354179e-06
512960,-2.457500831e-06
514880,-1.192687743e-05
516800,-7.957095036e-06
518720,-8.508973749e-06
520640,-3.473332083e-06
522560,-7.435510653e-06
524480,-2.740769999e-06
526400,-1.930974806e-06
528320,-6.681307912e-06
530240,-4.652350666e-06
532160,-1.442611498e-05
534080,-3.735713364e-06
536000,-1.019872952e-05
537920,-3.860258591e-06
539840,-5.834864602e-06
541760,-4.40282844e-06
543680,-7.479160643e-07
545600,-7.689050637e-06
547520,-5.549030999e-06
549440,-1.253524528e-05
551360,-5.523231095e-06
553280,-8.721456001e-06
555200,-3.062731716e-06
557120,-4.820139381e-06
559040,-4.280081779e-06
560960,-1.713698761e-06
562880,-8.734750547e-06
564800,-5.281505204e-06
566720,-1.30509679e-05
568640,-3.544142205e-06
570560,-1.034519308e-05
572480,-2.524152693e-06
574400,-1.554908856e-06
576320,-4.610923955e-06
578240,-1.94396397e-07
580160,-1.112930719e-05
582080,-7.769125361e-06
584000,-9.087190144e-06
585920,-4.586648972e-06
587840,-1.176165455e-05
589760,-1.299697803e-07
591680,-8.113153019e-07
593600,-3.714563059e-06
595520,-2.065389732e-06
597440,-1.299811868e-05
599360,-4.216534407e-06
601280,-1.158706586e-05
603200,-5.974051328e-06
605120,-7.633157098e-06
607040,-5.458329909e-07
608960,-3.243026809e-06
610880,-4.917548693e-06
612800,-5.309405049e-06
614720,-1.000755271e-05
616640,-4.829226029e-06
618560,-1.239596179e-05
620480,-4.937982159e-06
622400,-6.810560853e-06
624320,-9.82665886e-07
626240,-2.850273895e-06
628160,-6.836268667e-06
630080,-4.070561593e-06
632000,-1.198048917e-05
633920,-3.99998337e-06
635840,-1.195464087e-05
637760,-5.055022166e-06
639680,-5.356828885e-06
641600,-1.314219447e-06
643520,-1.404304712e-06
645440,-7.341960492e-06
647360,-5.944919366e-06
649280,-9.548656734e-06
651200,-5.76236856e-06
653120,-1.29126225e-05
655040,-2.316743765e-06
656960,-5.529715142e-06
658880,-9.632190486e-08
660800,-3.247875109e-07
662720,-1.072284277e-05
664640,-1.99257281e-06
666560,-1.148761951e-05
668480,-8.088201164e-06
670400,-1.00613902e-05
672320,-9.624343098e-07
674240,-7.293768066e-06
676160,-8.538782076e-07
678080,-3.074082355e-06
680000,-7.982385152e-06
681920,-3.678977755e-06
683840,-1.286375282e-05
685760,-5.858549117e-06
687680,-9.713013306e-06
689600,-2.786859915e-06
691520,-5.35183854e-06
693440,-4.169199337e-06
695360,-5.826089652e-07
697280,-8.712960048e-06
699200,-5.586042397e-06
701120,-1.255380388e-05
703040,-4.92752471e-06
704960,-8.867783251e-06
706880,-2.935351107e-06
