"SemiImplicitEulerMethod_time","SemiImplicitEulerMethod_energyChange"
0,0
1837,-0.001021213456
3663,-0.0002124425609
5489,-0.0005865721097
7315,-0.0005929148947
9141,-4.786699052e-05
10967,-0.0007782020894
12793,-0.0003291902601
14619,-0.0005432746376
16445,-3.841593902e-05
18271,-6.607563123e-05
20097,-0.0006151134976
21923,-7.617207528e-05
23749,-0.001079036162
25575,-0.0001108481875
27401,-0.0008030059409
29227,-0.0004612732659
31053,-0.0001980113625
32879,-0.0008256699032
34705,-0.0001773053299
36531,-0.0007396275224
38357,-0.0002026207743
40183,-0.0002079228957
42009,-0.0002572372168
43835,-0.0001192953666
45661,-0.0009174806823
47487,-3.475001447e-05
49313,-0.0009611502017
51139,-0.0002631207754
52965,-0.0004472610159
54791,-0.0008085761271
56617,-5.976491682e-06
58443,-0.0009135881128
60269,-0.0002292914902
62095,-0.0004229199322
63921,-3.829866263e-05
65747,-4.071554604e-05
67573,-0.0006500061285
69399,-0.0001680187608
71225,-0.0009141405844
73051,-2.91023056e-05
74877,-0.0006796120942
76703,-0.0006605529033
78529,-0.0002444195141
80355,-0.001013435157
82181,-0.0001849638264
84007,-0.0006837990809
85833,-0.0001057301183
87659,-0.0001711270885
89485,-0.0004662138454
91311,-0.0002213134525
93137,-0.0007424351402
94963,-0.0002196804753
96789,-0.0007466661858
98615,-0.0004317172618
100441,-0.0004807998005
102267,-0.0009807560891
104093,-2.900027057e-05
105919,-0.0008867524649
107745,-0.0001746291421
109571,-0.0004789827331
111397,-0.0002913189498
113223,-8.554114326e-05
115049,-0.0006260707653
116875,-0.0004201240967
118701,-0.0006953577969
120527,-9.797346776e-05
122353,-0.0006033078052
124179,-0.0008394096722
126005,-0.0001408877313
127831,-0.001004900678
129657,-0.0001170007865
131483,-0.0007462066169
133309,-0.0001440275654
135135,-0.0001840765089
136961,-0.0005181919175
138787,-0.0003815262812
140613,-0.000654948666
142439,-0.0002556207172
144265,-0.0006238135557
146091,-0.0004982673162
147917,-0.0002687260977
149743,-0.001037212008
151569,-2.717305186e-05
153395,-0.0009754557799
155221,-6.242395524e-05
157047,-0.0004444047082
158873,-0.0004117523379
160699,-0.0001741348404
162525,-0.0006686010418
164351,-0.0003748958078
166177,-0.0005942174897
168003,-3.804030664e-05
169829,-0.000329399168
171655,-0.0008458324946
173481,-8.961737327e-05
175307,-0.001148336703
177133,-1.029062799e-05
178959,-0.0007144385098
180785,-0.0002710108697
182611,-7.989895829e-05
184437,-0.0007096071354
186263,-0.0003053631305
188089,-0.0006532090379
189915,-0.0002787386963
191741,-0.0002968707538
193567,-0.0004588686872
195393,-0.0001673727905
197219,-0.001137669787
199045,-3.595749459e-05
200871,-0.0009413879963
202697,-0.0001165275063
204523,-0.0003896330204
206349,-0.0006534103554
208175,-0.0001213021291
210001,-0.0007939328838
211827,-0.0004081197912
213653,-0.0003692678568
215479,-5.314344068e-05
217305,-0.0001313635694
219131,-0.0009266900298
220957,-4.332624682e-05
222783,-0.001054309569
224609,-4.00734781e-05
226435,-0.0006636327095
228261,-0.0005253196022
230087,-0.0001557286464
231913,-0.0008515331857
233739,-0.0003532111556
235565,-0.0005707947099
237391,-0.000226178537
239217,-0.0001871420979
241043,-0.0005504914136
242869,-4.23903243e-05
244695,-0.001020624873
246521,-5.006139983e-05
248347,-0.0008792978976
250173,-0.0003967028319
251999,-0.0004124353712
253825,-0.0008306444179
255651,-0.0001741094041
257477,-0.0007539011634
259303,-0.0002986894184
261129,-0.0003785532314
262955,-0.0001994049757
264781,-5.889625884e-05
266607,-0.0007645212236
268433,-0.0001845473528
270259,-0.001000719081
272085,-0.000208988574
273911,-0.0006581441519
275737,-0.0007310365179
277563,-2.752367917e-05
279389,-0.0009058022285
281215,-0.0002516742466
283041,-0.0006167018406
284867,-9.053488002e-06
286693,-5.48456287e-05
288519,-0.0004734683916
290345,-0.0002714198866
292171,-0.0009017723986
293997,-7.805177959e-06
295823,-0.000840123389
297649,-0.0005144481018
299475,-0.0002771214505
301301,-0.0009530862308
303127,-0.0001338781411
304953,-0.0008736569654
306779,-0.0001160224604
