"Taylor2ndDerivative_time","Taylor2ndDerivative_energyChange"
0,0
182640,0.7521526521
365200,0.8014136967
547760,0.8291033825
730320,0.8446206624
912880,0.8568781455
1095440,0.8665137176
1278000,0.8724409496
1460560,0.8795560416
1643120,0.8843939143
1825680,0.8885657792
2008240,0.8920767346
2190800,0.8953762738
2373360,0.8983436815
2555920,0.9011498091
2738480,0.9037488432
2921040,0.9061922406
3103600,0.9084964483
3286160,0.9106724032
3468720,0.9126481453
3651280,0.9145870732
3833840,0.9160022122
4016400,0.9168233497
4198960,0.918577806
4381520,0.9202383659
4564080,0.9212269844
4746640,0.9223088763
4929200,0.923871602
5111760,0.9248414487
5294320,0.9255764574
5476880,0.9269857589
5659440,0.9274607211
5842000,0.9285411102
6024560,0.92982678
6207120,0.9301869142
6389680,0.9314384581
6572240,0.9315933023
6754800,0.9328127542
6937360,0.9331213802
7119920,0.9340689291
7302480,0.9344562636
7485040,0.9355082817
7667600,0.9356873826
7850160,0.936709736
8032720,0.9369814354
8215280,0.9378680377
8397840,0.9381117479
8580400,0.9389923171
8762960,0.9392027511
8945520,0.9401376066
9128080,0.9402621432
9310640,0.9412014921
9493200,0.9413076016
9675760,0.9422197632
9858320,0.9423203963
10040880,0.9426283415
10223440,0.9432787344
10406000,0.9434715006
10588560,0.9442299401
10771120,0.9443908782
10953680,0.9451462591
11136240,0.9452483674
11318800,0.9453910768
11501360,0.946109083
11683920,0.9462478579
11866480,0.9469708579
12049040,0.9471113965
12231600,0.9471431068
12414160,0.9479542231
12596720,0.9480017595
12779280,0.9484877969
12961840,0.9488397587
13144400,0.9488585114
13326960,0.9496224245
13509520,0.9496758943
13692080,0.9497066886
13874640,0.9504466337
14057200,0.9504975598
14239760,0.9505965787
14422320,0.9512529974
14604880,0.9512920656
14787440,0.951428833
14970000,0.9520219744
15152560,0.9520646749
15335120,0.9521954527
15517680,0.9527812703
15700240,0.9528790764
15882800,0.9529382722
16065360,0.95351861
16247920,0.9536304155
16430480,0.9536652864
16613040,0.9542454984
16795600,0.9543499475
16978160,0.9543636766
17160720,0.9549621791
17343280,0.9550522174
17525840,0.9550730748
17708400,0.955229946
17890960,0.9557508313
18073520,0.9557598792
18256080,0.9557936748
18438640,0.9564226441
18621200,0.956441613
18803760,0.9564650665
18986320,0.9568176437
19168880,0.957095011
19351440,0.9571195112
19534000,0.9572085143
19716560,0.957721696
19899120,0.9577638318
20081680,0.9578465531
20264240,0.9578613371
20446800,0.9583718422
20629360,0.9584748541
20811920,0.9584867011
20994480,0.9585072108
21177040,0.9590773426
21359600,0.9591008438
21542160,0.9591140764
21724720,0.9592906279
21907280,0.9596877299
22089840,0.9597178622
22272400,0.9597644611
22454960,0.959892141
22637520,0.9602890249
22820080,0.9603177139
23002640,0.9604016626
23185200,0.9604115198
23367760,0.9608752603
23550320,0.9609721234
23732880,0.9609818853
23915440,0.9609899647
24098000,0.9614968508
24280560,0.961534417
24463120,0.9615604752
24645680,0.9615671601
24828240,0.96208975
25010800,0.9621009723
25193360,0.9621211944
25375920,0.9621785237
25558480,0.962212022
25741040,0.9626505038
25923600,0.9626742993
26106160,0.9627513069
26288720,0.962762861
26471280,0.9631922335
26653840,0.9632261333
26836400,0.963295905
27018960,0.9633004332
27201520,0.9633047079
27384080,0.9638015685
27566640,0.9638194937
27749200,0.9638357889
27931760,0.9638430298
28114320,0.9639064975
28296880,0.9643327123
28479440,0.9643498848
28662000,0.9643702245
28844560,0.9644347158
29027120,0.9644350282
29209680,0.9648518277
29392240,0.9649114308
29574800,0.9649387714
29757360,0.964950934
29939920,0.9649501602
30122480,0.9654252457
30305040,0.9654437961
30487600,0.9654469688
30670160,0.9654580717
30852720,0.9655198416
31035280,0.9659332086
31217840,0.9659405886
31400400,0.9659455934
31582960,0.9660108745
31765520,0.9660260128
31948080,0.9662943268
32130640,0.9664340059
32313200,0.9664986586
32495760,0.9665044688
32678320,0.9665179729
32860880,0.9665295662
33043440,0.9669769588
33226000,0.9669867009
33408560,0.9669895793
33591120,0.9670026134
33773680,0.9670625567
33956240,0.9671124874
34138800,0.96746207
34321360,0.9674637011
34503920,0.9674994956
34686480,0.9675490366
34869040,0.967552507
35051600,0.9678580748
35234160,0.9679385567
35416720,0.9679915356
