"Taylor3rdDerivative_time","Taylor3rdDerivative_energyChange"
0,0
182640,0.04990073895
365200,0.08310133794
547760,0.1105711873
730320,0.1322688089
912880,0.154711903
1095440,0.1768135744
1278000,0.1950152298
1460560,0.2125905357
1643120,0.2288718252
1825680,0.2457180715
2008240,0.262791687
2190800,0.2797866255
2373360,0.2982661049
2555920,0.3196582839
2738480,0.3338597981
2921040,0.3547049395
3103600,0.3717303529
3286160,0.394054917
3468720,0.4124877378
3651280,0.4415186361
3833840,0.4582850593
4016400,0.4827108164
4198960,0.5138460178
4381520,0.5364907617
4564080,0.5652140093
4746640,0.5990721227
4929200,0.6328203924
5111760,0.6772986346
5294320,0.710057224
5476880,0.7343685513
5659440,0.756929468
5842000,0.7726889214
6024560,0.7899618383
6207120,0.8070707245
6389680,0.8185554951
6572240,0.8298481374
6754800,0.8418141414
6937360,0.8478213968
7119920,0.8537852383
7302480,0.859617595
7485040,0.865434952
7667600,0.8711014486
7850160,0.8768124937
8032720,0.8768120021
8215280,0.8826182829
8397840,0.8887342084
8580400,0.8887396704
8762960,0.894775409
8945520,0.8947800621
9128080,0.894784859
9310640,0.9008674695
9493200,0.900873867
9675760,0.9008763276
9858320,0.907107882
10040880,0.9071099841
10223440,0.9071164204
10406000,0.9071179393
10588560,0.9071249288
10771120,0.9135114566
10953680,0.9135308408
11136240,0.9135183133
11318800,0.9135265264
11501360,0.9135276993
11683920,0.9135292871
11866480,0.913539201
12049040,0.9198842827
12231600,0.9198961332
12414160,0.9198987656
12596720,0.9199064683
12779280,0.9199136667
12961840,0.9199425691
13144400,0.9199293288
13326960,0.9199334064
13509520,0.9199354339
13692080,0.9199405175
13874640,0.919955412
14057200,0.9199474823
14239760,0.9266999099
14422320,0.9267057879
14604880,0.9267075752
14787440,0.9267143531
14970000,0.9267333983
15152560,0.9267279532
15335120,0.9267339163
15517680,0.9267633832
15700240,0.9267469179
15882800,0.9267487306
16065360,0.9267538078
16247920,0.9267592369
16430480,0.9267809548
16613040,0.9267682812
16795600,0.9267760967
16978160,0.9267809385
17160720,0.9267870757
17343280,0.9267912748
17525840,0.9267973679
17708400,0.9268267219
17890960,0.9268114048
18073520,0.9268175547
18256080,0.9268232993
18438640,0.9268320638
18621200,0.9268359114
18803760,0.9268401829
18986320,0.9268430827
19168880,0.9268660546
19351440,0.9268561083
19534000,0.9268577051
19716560,0.9268625636
19899120,0.9268681832
20081680,0.9268813312
20264240,0.9268782391
20446800,0.9269050342
20629360,0.9336773255
20811920,0.9337059224
20994480,0.9336888997
21177040,0.9337048263
21359600,0.9336985462
21542160,0.9337121605
21724720,0.9337124329
21907280,0.9337392914
22089840,0.9337202761
22272400,0.9337246325
22454960,0.9337320055
22637520,0.9337361128
22820080,0.9337416993
23002640,0.9337427043
23185200,0.9337478223
23367760,0.9337594751
23550320,0.9337589293
23732880,0.9337660893
23915440,0.9337660946
24098000,0.9337720935
24280560,0.9337771229
24463120,0.9337836667
24645680,0.933806225
24828240,0.9337891124
25010800,0.9337926717
25193360,0.9338151016
25375920,0.933803228
25558480,0.9338059509
25741040,0.9338257583
25923600,0.9338135667
26106160,0.9338190704
26288720,0.9338312834
26471280,0.9338290599
26653840,0.9338383993
26836400,0.9338391915
27018960,0.9338443989
27201520,0.9338526178
27384080,0.9338571979
27566640,0.9338626274
27749200,0.9338662718
27931760,0.9338957133
28114320,0.9338781692
28296880,0.9338826992
28479440,0.9338969268
