"Leapfrog_time","Leapfrog_energyChange"
0,0
182512,-9.682477416e-06
365013,-1.367300263e-05
547514,-8.939712658e-06
730015,-1.032861774e-06
912516,-6.439138484e-07
1095017,-1.659822653e-06
1277518,-2.375024271e-06
1460019,-4.491586355e-07
1642520,-1.778414269e-06
1825021,-3.262701668e-06
2007522,-1.234436057e-05
2190023,-1.296763477e-05
2372524,-7.420522337e-06
2555025,-2.268148465e-06
2737526,-2.810165634e-06
2920027,-2.159512585e-08
3102528,-3.171926323e-06
3285029,-2.093258838e-06
3467530,-6.365639781e-07
3650031,-6.506717567e-06
3832532,-1.298353458e-05
4015033,-1.281405357e-05
4197534,-3.703770377e-06
4380035,-4.848561139e-06
4562536,-5.359317773e-06
4745037,-1.667317064e-06
4927538,-4.775088501e-06
5110039,-4.223749453e-06
5292540,-1.639634833e-06
5475041,-7.916708704e-06
5657542,-1.249363597e-05
5840043,-1.040829396e-05
6022544,-1.065124444e-07
6205045,-7.764924789e-06
6387546,-3.464698147e-06
6570047,-4.801565347e-06
6752548,-8.391922039e-06
6935049,-4.638381465e-06
7117550,-3.253180288e-06
7300051,-7.53345916e-06
7482552,-1.163566355e-05
7665053,-6.256901457e-06
7847554,-3.104413541e-06
8030055,-8.479902363e-06
8212556,-3.006773359e-07
8395057,-8.027267793e-06
8577558,-9.692379195e-06
8760059,-4.328749351e-06
8942560,-2.39969109e-06
9125061,-7.012187539e-06
9307562,-8.396011177e-06
9490063,-3.399052222e-06
9672564,-5.268867601e-06
9855065,-4.906578335e-06
10037566,-3.804167638e-06
10220067,-1.138331131e-05
10402568,-9.32209973e-06
10585069,-3.556643471e-06
10767570,-8.391879614e-07
10950071,-5.676944032e-06
11132572,-5.932777471e-06
11315073,-2.108365786e-06
11497574,-3.466817432e-06
11680075,-8.512410105e-07
11862576,-7.949837301e-06
12045077,-1.222251016e-05
12227578,-8.824166294e-06
12410079,-3.401092723e-07
12592580,-8.72999263e-07
12775081,-2.644974855e-06
12957582,-5.232448134e-06
13140083,-1.849265525e-06
13322584,-1.076224932e-06
13505085,-1.579502173e-06
13687586,-9.882312905e-06
13870087,-1.140343124e-05
14052588,-6.06900671e-06
14235089,-2.873000395e-06
14417590,-3.349627555e-06
14600091,-2.974877665e-06
14782592,-6.56423994e-06
14965093,-5.030258648e-06
15147594,-8.69872712e-07
15330095,-5.137172826e-06
15512596,-1.028664166e-05
15695097,-1.062079937e-05
15877598,-1.793041601e-06
16060099,-5.950615779e-06
16242600,-4.333129809e-06
16425101,-5.176386616e-06
16607602,-9.055026877e-06
16790103,-6.586038041e-06
16972604,-2.299099551e-06
17155105,-5.818756358e-06
17337606,-1.010084635e-05
17520107,-6.817290086e-06
17702608,-2.093603807e-06
17885109,-8.794914578e-06
18067610,-1.509483369e-06
18250111,-7.544202997e-06
18432612,-1.164385348e-05
18615113,-6.31941336e-06
18797614,-2.936232914e-06
18980115,-5.317215446e-06
19162616,-8.486438974e-06
19345117,-3.058956373e-06
19527618,-5.1146647e-06
19710119,-7.147179138e-06
19892620,-2.380615054e-06
20075121,-1.145421273e-05
20257622,-1.233444443e-05
20440123,-6.723370208e-06
20622624,-1.691416191e-06
20805125,-4.887390248e-06
20987626,-4.672694687e-06
21170127,-5.132136215e-07
21352628,-6.385638044e-06
21535129,-3.746872641e-06
21717630,-5.577674369e-06
21900131,-1.347245131e-05
22082632,-1.181172962e-05
22265133,-5.029318149e-06
22447634,-3.617165351e-07
22630135,-2.583429203e-06
22812636,-2.898062663e-06
22995137,-9.506689565e-08
23177638,-3.369694476e-06
23360139,-6.616309091e-07
23542640,-9.259268076e-06
23725141,-1.343094627e-05
23907642,-1.097545193e-05
24090143,-1.556291229e-06
24272644,-1.530699875e-06
24455145,-1.511524459e-07
24637646,-2.950592763e-06
24820147,-1.300650813e-06
25002648,-1.017020516e-06
25185149,-1.886845396e-06
25367650,-1.028221316e-05
25550151,-1.310759641e-05
25732652,-7.783167196e-06
25915153,-1.318767002e-06
26097654,-4.019953546e-06
26280155,-1.345185705e-06
26462656,-4.63338831e-06
26645157,-4.506904399e-06
26827658,-2.713502729e-07
27010159,-4.192553566e-06
27192660,-1.013069237e-05
27375161,-1.173491041e-05
27557662,-4.043962269e-06
27740163,-4.315582399e-06
27922664,-3.599837776e-06
28105165,-4.321857736e-06
28287666,-8.261417195e-06
28470167,-5.803096979e-06
28652668,-1.523152581e-06
28835169,-4.036619623e-06
29017670,-9.482940301e-06
29200171,-7.595697046e-06
29382672,-5.46009998e-07
29565173,-6.672757912e-06
29747674,-8.416888627e-07
29930175,-7.0537686e-06
30112676,-1.053346915e-05
30295177,-5.390472087e-06
30477678,-1.02149246e-06
30660179,-3.408729237e-06
30842680,-7.110970343e-06
31025181,-4.918797228e-06
31207682,-1.440790846e-06
31390183,-4.00654032e-06
31572684,-3.082073607e-06
31755185,-1.143943255e-05
31937686,-1.125048691e-05
32120187,-5.359741706e-06
32302688,-1.025251746e-06
32485189,-2.155357388e-06
32667690,-3.742598101e-06
32850191,-3.275600144e-06
33032692,-1.475096062e-06
33215193,-9.854372158e-07
33397694,-6.409842157e-06
33580195,-1.290632698e-05
33762696,-1.093132011e-05
33945197,-2.538616738e-06
34127698,-3.197711938e-06
34310199,-9.917382998e-07
34492700,-3.173408816e-06
34675201,-3.033956418e-06
34857702,-1.058284978e-06
35040203,-1.098268733e-06
35222704,-9.502988116e-06
35405205,-1.273896457e-05
35587706,-9.81384189e-06
35770207,-1.03110793e-06
35952708,-5.77757742e-06
36135209,-1.823724011e-06
36317710,-4.584994628e-06
36500211,-5.721581491e-06
36682712,-2.67415567e-06
36865213,-3.964608294e-06
37047714,-1.035295396e-05
37230215,-1.278976696e-05
37412716,-5.996602968e-06
37595217,-4.351570949e-06
37777718,-8.519944866e-06
37960219,-1.730075011e-07
38142720,-6.616168761e-06
38325221,-7.94581271e-06
38507722,-2.927824983e-06
38690223,-5.119500999e-06
38872724,-1.031243999e-05
39055225,-1.071781208e-05
39237726,-2.362894079e-06
39420227,-7.517317152e-06
39602728,-6.488389925e-06
39785229,-3.507136182e-06
39967730,-1.043092271e-05
40150231,-8.169153357e-06
40332732,-3.676494054e-06
40515233,-4.402030005e-06
40697734,-9.706996133e-06
40880235,-6.851973355e-06
41062736,-9.561284456e-07
41245237,-8.689564683e-06
41427738,-2.861474892e-06
41610239,-7.019657778e-06
41792740,-1.178214792e-05
41975241,-7.918628127e-06
42157742,-2.324534908e-06
42340243,-4.051280678e-06
42522744,-7.121193585e-06
42705245,-4.843498855e-06
42887746,-2.78023175e-06
43070247,-5.593961446e-06
43252748,-1.013896492e-06
43435249,-1.062895055e-05
43617750,-1.160810028e-05
43800251,-6.881187955e-06
43982752,-1.16382691e-07
44165253,-2.518793523e-06
44347754,-5.074139907e-06
44530255,-3.905336768e-06
44712756,-1.219238641e-06
44895257,-2.566045269e-06
45077758,-4.901389377e-06
45260259,-1.137671933e-05
45442760,-1.10399062e-05
45625261,-3.018666584e-06
45807762,-2.208547874e-06
45990263,-2.504243533e-07
46172764,-4.836411757e-06
46355265,-4.200158398e-06
46537766,-1.060144434e-06
46720267,-4.886150021e-07
46902768,-7.117751842e-06
47085269,-1.139871103e-05
47267770,-8.806897435e-06
47450271,-2.046585786e-07
47632772,-4.532619299e-06
47815273,-9.115315539e-07
47997774,-6.72348711e-06
48180275,-7.715725976e-06
48362776,-2.545293762e-06
48545277,-2.308555011e-06
48727778,-7.41741289e-06
48910279,-1.068214523e-05
49092780,-4.378184373e-06
49275281,-3.830106799e-06
49457782,-5.981362791e-06
49640283,-3.375886197e-06
49822784,-9.260699858e-06
50005285,-9.092187184e-06
