"LeapfrogAdaptive_time","LeapfrogAdaptive_energyChange"
0,0
183040,-5.708835686e-06
365760,-3.812181597e-06
548480,-3.502226628e-06
731200,-1.270640075e-05
913920,-8.705478236e-06
1096640,-3.513088775e-06
1279360,-6.47100285e-06
1462080,-3.845712152e-06
1644800,-3.3440592e-07
1827520,-1.032851392e-05
2010240,-1.459844755e-05
2192960,-5.366966639e-06
2375680,-1.047221204e-06
2558400,-6.879374259e-06
2741120,-1.646913298e-06
2923840,-7.124740068e-06
3106560,-1.295182359e-05
3289280,-1.207449864e-05
3472000,-7.159000039e-07
3654720,-4.383668476e-06
3837440,-6.413930338e-06
4020160,-1.476862309e-06
4202880,-1.161282875e-05
4385600,-1.05241309e-05
4568320,-6.657410594e-06
4751040,-5.433319316e-06
4933760,-5.214178787e-06
5116480,-3.086720539e-06
5299200,-6.148491564e-06
5481920,-1.248333537e-05
5664640,-6.116074611e-06
5847360,-4.977470489e-07
6030080,-7.031394718e-06
6212800,-4.612302615e-06
6395520,-3.185421044e-06
6578240,-7.806589508e-06
6760960,-1.17803541e-05
6943680,-2.002301997e-07
7126400,-2.199034044e-06
7309120,-6.30093264e-06
7491840,-6.670720528e-08
7674560,-7.398206471e-06
7857280,-8.136583089e-06
8040000,-6.831930952e-06
8222720,-2.841035068e-06
8405440,-3.282731906e-06
8588160,-7.624309564e-07
8770880,-4.723789317e-06
8953600,-1.181477935e-05
9136320,-5.899689627e-06
9319040,-3.251535556e-06
9501760,-3.430971937e-06
9684480,-6.195100566e-07
9867200,-5.322688704e-06
10049920,-8.797563578e-06
10232640,-1.148195207e-05
10415360,-1.721170533e-06
10598080,-5.079696913e-08
10780800,-2.404372536e-06
10963520,-3.271020402e-06
11146240,-1.009931492e-05
11328960,-9.476491119e-06
11511680,-6.053771308e-06
11694400,-2.430665023e-06
11877120,-3.231443246e-06
12059840,-6.882037489e-07
12242560,-6.078471509e-06
12425280,-1.288510699e-05
12608000,-5.141436853e-06
12790720,-1.115967133e-06
12973440,-5.902415171e-06
13156160,-2.218995781e-06
13338880,-4.192815537e-06
13521600,-1.010980249e-05
13704320,-1.017466995e-05
13887040,-5.616641334e-07
14069760,-4.330535871e-06
14252480,-5.961634541e-06
14435200,-5.260516086e-08
14617920,-1.002466552e-05
14800640,-1.046668693e-05
14983360,-6.775126964e-06
15166080,-4.61770456e-06
15348800,-6.099167342e-06
15531520,-3.976665562e-06
15714240,-5.426535141e-06
15896960,-1.293535803e-05
16079680,-8.8606415e-06
16262400,-2.053932011e-06
16445120,-6.578788961e-06
16627840,-4.242412853e-06
16810560,-1.996944244e-06
16993280,-1.092184834e-05
17176000,-1.407035384e-05
17358720,-5.19464019e-06
17541440,-1.96464464e-06
17724160,-6.034377574e-06
17906880,-1.097760592e-06
18089600,-7.857434899e-06
18272320,-1.217214125e-05
