"Taylor2ndDerivative_time","Taylor2ndDerivative_energyChange"
0,0
1837,-0.03920379411
3663,-0.07194837289
5489,-0.09755567911
7315,-0.1186215648
9141,-0.1418714475
10967,-0.1599300049
12793,-0.1745310725
14619,-0.1916336498
16445,-0.2065865902
18271,-0.2179788455
20097,-0.2304954035
21923,-0.2436726209
23749,-0.253717367
25575,-0.2622276188
27401,-0.272274956
29227,-0.2825874204
31053,-0.290723522
32879,-0.2978764676
34705,-0.3058752189
36531,-0.3143433477
38357,-0.3210620475
40183,-0.3266282582
42009,-0.3328819622
43835,-0.3401982992
45661,-0.347057504
47487,-0.3522497388
49313,-0.356716834
51139,-0.3616520942
52965,-0.3674589977
54791,-0.3732136955
56617,-0.3778706387
58443,-0.3819586687
60269,-0.3861601309
62095,-0.3909194949
63921,-0.3956616377
65747,-0.3995950877
67573,-0.4029693026
69399,-0.4064395562
71225,-0.4106142624
73051,-0.4150355098
74877,-0.4190353136
76703,-0.4222235255
78529,-0.4249524324
80355,-0.4277378878
82181,-0.4310178899
84007,-0.4348274906
85833,-0.4385196173
87659,-0.4415388207
89485,-0.4440868794
91311,-0.4829043398
93137,-0.4853420452
94963,-0.4972040369
96789,-0.5069596103
98615,-0.5087330749
100441,-0.5097345113
102267,-0.5109453465
104093,-0.5149619168
105919,-0.5283298528
107745,-0.5323222162
109571,-0.5333752403
111397,-0.5341383382
113223,-0.5351443338
115049,-0.5386189576
116875,-0.5503740423
118701,-0.5542662716
120527,-0.5552043598
122353,-0.5558122858
124179,-0.5564796004
126005,-0.5578877047
127831,-0.5649863048
129657,-0.5730079128
131483,-0.5745181795
133309,-0.5751171003
135135,-0.5755909121
136961,-0.5761616818
138787,-0.5774689493
140613,-0.5840034596
142439,-0.5910879146
144265,-0.5924455379
146091,-0.5930024182
147917,-0.5934427913
149743,-0.593857783
151569,-0.5945636652
153395,-0.5973740489
155221,-0.6056770299
157047,-0.6085132922
158873,-0.6091614076
160699,-0.609517633
162525,-0.6098254942
164351,-0.6101827185
166177,-0.6108334562
168003,-0.6135728614
169829,-0.6210711324
171655,-0.6235833629
173481,-0.6241618232
175307,-0.6244703701
177133,-0.624726815
178959,-0.6250010899
180785,-0.6254044108
182611,-0.6265670029
184437,-0.6319778044
186263,-0.6369462409
188089,-0.637914103
189915,-0.6382533321
191741,-0.6384818999
193567,-0.6386910207
195393,-0.6389277468
197219,-0.6392903248
199045,-0.6403960376
200871,-0.6454173878
202697,-0.6498604043
204523,-0.6507581459
206349,-0.6510645866
208175,-0.6512651868
210001,-0.6514414773
211827,-0.6516274909
213653,-0.6518732258
215479,-0.6523926053
217305,-0.6547139294
219131,-0.6604346544
220957,-0.6624315919
222783,-0.6628735063
224609,-0.6630825667
226435,-0.6632386212
228261,-0.663382945
230087,-0.6635394741
231913,-0.6637506808
233739,-0.6642027918
235565,-0.6662731014
237391,-0.6715592453
239217,-0.673613092
241043,-0.6740535274
242869,-0.6742484564
244695,-0.6743908725
246521,-0.674517573
248347,-0.6746463737
250173,-0.6748001778
251999,-0.6750456451
253825,-0.6757746738
255651,-0.6791434642
257477,-0.6833071357
259303,-0.6842994305
261129,-0.6845672157
262955,-0.6847120023
264781,-0.6848242917
266607,-0.6849276221
268433,-0.6850349091
270259,-0.6851633224
272085,-0.6853637887
273911,-0.6859170452
275737,-0.6885140885
277563,-0.6927896415
279389,-0.6940146959
281215,-0.6943086265
283041,-0.6944506852
284867,-0.694554571
286693,-0.6952424187
288519,-0.6953300609
290345,-0.6954298811
292171,-0.6955620708
293997,-0.6958092481
295823,-0.6966383248
297649,-0.6997726652
299475,-0.7026935127
301301,-0.7034417744
303127,-0.7036675014
304953,-0.703800217
306779,-0.7039373524
308605,-0.7040983391
310431,-0.7042203382
312257,-0.704316999
314083,-0.7044243103
315909,-0.7045917004
317735,-0.7050329288
319561,-0.706851879
321387,-0.7102980025
323213,-0.7116515025
325039,-0.7119793142
326865,-0.7121139061
328691,-0.7122019414
330517,-0.7122749103
332343,-0.7123444423
334169,-0.712421045
335995,-0.7125274248
337821,-0.7126938297
339647,-0.7129072307
341473,-0.7133521103
343299,-0.7150997432
345125,-0.718327652
346951,-0.7196103711
348777,-0.7199215524
350603,-0.7200457647
352429,-0.7201247773
354255,-0.7201885059
356081,-0.7202465879
357907,-0.7203040855
359733,-0.7203656616
361559,-0.7204389121
363385,-0.7205440938
365211,-0.7207634499
367037,-0.7215372793
368863,-0.7241689454
370689,-0.726633701
372515,-0.7273075488
374341,-0.7274972109
376167,-0.7276245208
377993,-0.7277243374
379819,-0.7277779391
381645,-0.7278296901
383471,-0.7278799548
385297,-0.7279334575
387123,-0.72799617
388949,-0.7280831001
390775,-0.7282524888
392601,-0.7288106334
394427,-0.730894291
396253,-0.7334691687
398079,-0.7343073616
399905,-0.7345848038
401731,-0.734743733
403557,-0.7348299777
405383,-0.7348866153
407209,-0.7349335937
409035,-0.7349779659
410861,-0.7350231447
412687,-0.735072007
414513,-0.7351316333
416339,-0.7352211818
418165,-0.7354243035
419991,-0.7361940962
421817,-0.738656888
423643,-0.7407135324
425469,-0.7412562108
427295,-0.7414098709
429121,-0.7414853392
430947,-0.7415419879
432773,-0.7416005453
434599,-0.7416784148
436425,-0.7417664862
438251,-0.7418337787
440077,-0.7418862388
441903,-0.7419397569
443729,-0.7420109705
445555,-0.742149215
447381,-0.7426049605
449207,-0.7443624945
451033,-0.7468264374
452859,-0.7476870339
454685,-0.7478998166
456511,-0.7479831005
458337,-0.7480345162
460163,-0.7480751104
461989,-0.7481117088
463815,-0.748148104
465641,-0.748184434
467467,-0.7482261344
469293,-0.7482841079
471119,-0.7483727016
472945,-0.7484830472
474771,-0.7486402549
476597,-0.7491113963
478423,-0.7508522177
480249,-0.7531509681
